from_loc,to_loc,amount,from_x,from_y,to_x,to_y
Burkina Faso,Albania,1352534,-1.74676,12.2735004,20.0701008,41.1427002
Burkina Faso,Algeria,,-1.74676,12.2735004,2.64733,28.1681995
Burkina Faso,American Samoa,,-1.74676,12.2735004,-170.3880005,-14.2000999
Burkina Faso,Andorra,,-1.74676,12.2735004,1.5762399,42.5507011
Burkina Faso,Angola,,-1.74676,12.2735004,17.5508995,-12.2986002
Burkina Faso,Belgium,,-1.74676,12.2735004,4.66083,50.6417999
Burkina Faso,Benin,82,-1.74676,12.2735004,2.3392799,9.6496096
Burkina Faso,Botswana,,-1.74676,12.2735004,23.8143005,-22.1889
Burkina Faso,Brazil,,-1.74676,12.2735004,-53.0798988,-10.7670002
Burkina Faso,Burkina Faso,,-1.74676,12.2735004,-1.74676,12.2735004
Burkina Faso,British Virgin Islands,,-1.74676,12.2735004,-64.5175018,18.5112
Burkina Faso,Cameroon,,-1.74676,12.2735004,12.7428999,5.6972799
Burkina Faso,Canada,,-1.74676,12.2735004,-98.2525024,61.4627991
Burkina Faso,Central African Republic,,-1.74676,12.2735004,20.4869003,6.57412
Burkina Faso,Chad,28,-1.74676,12.2735004,18.6665993,15.3648996
Burkina Faso,Chile,,-1.74676,12.2735004,-71.384201,-37.9366989
Burkina Faso,China,,-1.74676,12.2735004,103.8320007,36.5632019
Burkina Faso,CIV,4511,-1.74676,12.2735004,-5.5539699,7.6232901
Burkina Faso,Comoros,,-1.74676,12.2735004,43.6711006,-11.8874998
Burkina Faso,Congo,,-1.74676,12.2735004,15.2454996,-0.831419
Burkina Faso,Croatia,,-1.74676,12.2735004,16.4202003,45.0259018
Burkina Faso,DRC,,-1.74676,12.2735004,23.6576004,-2.8792601
Burkina Faso,East Timor,,-1.74676,12.2735004,125.8519974,-8.8202496
Burkina Faso,Egypt,,-1.74676,12.2735004,29.7819004,26.5615997
Burkina Faso,Equatorial Guinea,,-1.74676,12.2735004,10.3345003,1.70281
Burkina Faso,Estonia,,-1.74676,12.2735004,25.5494995,58.6731987
Burkina Faso,Falkland Islands (Islas Malvinas),,-1.74676,12.2735004,-59.3824005,-51.7450981
Burkina Faso,France,,-1.74676,12.2735004,2.5501699,46.5621986
Burkina Faso,Gabon,27,-1.74676,12.2735004,11.7837,-0.622679
Burkina Faso,Gambia,,-1.74676,12.2735004,-15.3882999,13.4466
Burkina Faso,Germany,,-1.74676,12.2735004,10.3923998,51.1095009
Burkina Faso,Ghana,381,-1.74676,12.2735004,-1.20777,7.96277
Burkina Faso,Greece,,-1.74676,12.2735004,22.9890995,39.0433006
Burkina Faso,Guadeloupe,,-1.74676,12.2735004,-61.5360985,16.1991005
Burkina Faso,Guinea,,-1.74676,12.2735004,-10.9386997,10.4348001
Burkina Faso,Guinea-Bissau,,-1.74676,12.2735004,-14.9870996,12.0130997
Burkina Faso,Iceland,,-1.74676,12.2735004,-18.5942001,64.9898987
Burkina Faso,India,,-1.74676,12.2735004,79.6268997,22.8696003
Burkina Faso,Israel,,-1.74676,12.2735004,35.0121994,31.4379997
Burkina Faso,Italy,,-1.74676,12.2735004,12.0749998,42.7888985
Burkina Faso,Japan,,-1.74676,12.2735004,137.9629974,37.5400009
Burkina Faso,Kazakhstan,,-1.74676,12.2735004,67.3125,48.1851006
Burkina Faso,"Korea, North",,-1.74676,12.2735004,127.1740036,40.1431007
Burkina Faso,"Korea, South",,-1.74676,12.2735004,127.8069992,36.3558998
Burkina Faso,Lebanon,,-1.74676,12.2735004,35.8973999,33.9222984
Burkina Faso,Liberia,,-1.74676,12.2735004,-9.3071899,6.4475598
Burkina Faso,Libya,,-1.74676,12.2735004,18.0293007,27.0408993
Burkina Faso,Malawi,,-1.74676,12.2735004,34.3009987,-13.2164001
Burkina Faso,Mali,577,-1.74676,12.2735004,-3.52442,17.3553009
Burkina Faso,Malta,,-1.74676,12.2735004,14.4071999,35.9245987
Burkina Faso,Mauritius,,-1.74676,12.2735004,57.8810005,-20.1338005
Burkina Faso,Morocco,,-1.74676,12.2735004,-6.3017602,31.8812008
Burkina Faso,Netherlands,,-1.74676,12.2735004,5.6208,52.2496986
Burkina Faso,Niger,238,-1.74676,12.2735004,9.4006395,17.4241009
Burkina Faso,Nigeria,56,-1.74676,12.2735004,8.09233,9.58529
Burkina Faso,Russia,,-1.74676,12.2735004,96.7110977,61.9903984
Burkina Faso,Rwanda,,-1.74676,12.2735004,29.9228001,-2.0027201
Burkina Faso,Saudi Arabia,,-1.74676,12.2735004,44.5861015,24.0100994
Burkina Faso,Senegal,30,-1.74676,12.2735004,-14.4744997,14.3614998
Burkina Faso,Sierra Leone,,-1.74676,12.2735004,-11.7910004,8.5607204
Burkina Faso,Singapore,,-1.74676,12.2735004,103.8199997,1.36113
Burkina Faso,Somalia,,-1.74676,12.2735004,45.8672981,6.0609798
Burkina Faso,South Africa,,-1.74676,12.2735004,25.0935993,-29.0035
Burkina Faso,Spain,,-1.74676,12.2735004,-3.64376,40.2303009
Burkina Faso,Sudan,79,-1.74676,12.2735004,30.0898991,13.8871002
Burkina Faso,Switzerland,,-1.74676,12.2735004,8.2264605,46.8060989
Burkina Faso,Tanzania,,-1.74676,12.2735004,34.8255997,-6.2655201
Burkina Faso,Thailand,,-1.74676,12.2735004,101.0179977,15.1072998
Burkina Faso,Togo,177,-1.74676,12.2735004,0.977212,8.52841
Burkina Faso,Trinidad,,-1.74676,12.2735004,-61.2568016,10.4691
Burkina Faso,UAE,,-1.74676,12.2735004,54.3308983,23.9132004
Burkina Faso,UK,,-1.74676,12.2735004,-2.87005,54.1386986
Burkina Faso,USA,,-1.74676,12.2735004,-112.9820023,45.718399
Burkina Faso,USVI,,-1.74676,12.2735004,-64.8049011,17.9848995
Burkina Faso,Yemen,,-1.74676,12.2735004,47.6422997,15.7990999
Burkina Faso,Zambia,,-1.74676,12.2735004,27.7943001,-13.4575996
Cameroon,Albania,,12.7428999,5.6972799,20.0701008,41.1427002
Cameroon,Algeria,,12.7428999,5.6972799,2.64733,28.1681995
Cameroon,American Samoa,,12.7428999,5.6972799,-170.3880005,-14.2000999
Cameroon,Andorra,,12.7428999,5.6972799,1.5762399,42.5507011
Cameroon,Angola,32,12.7428999,5.6972799,17.5508995,-12.2986002
Cameroon,Belgium,85,12.7428999,5.6972799,4.66083,50.6417999
Cameroon,Benin,255,12.7428999,5.6972799,2.3392799,9.6496096
Cameroon,Botswana,35,12.7428999,5.6972799,23.8143005,-22.1889
Cameroon,Brazil,,12.7428999,5.6972799,-53.0798988,-10.7670002
Cameroon,Burkina Faso,58,12.7428999,5.6972799,-1.74676,12.2735004
Cameroon,British Virgin Islands,,12.7428999,5.6972799,-64.5175018,18.5112
Cameroon,Cameroon,1720814,12.7428999,5.6972799,12.7428999,5.6972799
Cameroon,Canada,69,12.7428999,5.6972799,-98.2525024,61.4627991
Cameroon,Central African Republic,1888,12.7428999,5.6972799,20.4869003,6.57412
Cameroon,Chad,7912,12.7428999,5.6972799,18.6665993,15.3648996
Cameroon,Chile,,12.7428999,5.6972799,-71.384201,-37.9366989
Cameroon,China,97,12.7428999,5.6972799,103.8320007,36.5632019
Cameroon,CIV,332,12.7428999,5.6972799,-5.5539699,7.6232901
Cameroon,Comoros,,12.7428999,5.6972799,43.6711006,-11.8874998
Cameroon,Congo,461,12.7428999,5.6972799,15.2454996,-0.831419
Cameroon,Croatia,,12.7428999,5.6972799,16.4202003,45.0259018
Cameroon,DRC,308,12.7428999,5.6972799,23.6576004,-2.8792601
Cameroon,East Timor,30,12.7428999,5.6972799,125.8519974,-8.8202496
Cameroon,Egypt,35,12.7428999,5.6972799,29.7819004,26.5615997
Cameroon,Equatorial Guinea,311,12.7428999,5.6972799,10.3345003,1.70281
Cameroon,Estonia,,12.7428999,5.6972799,25.5494995,58.6731987
Cameroon,Falkland Islands (Islas Malvinas),,12.7428999,5.6972799,-59.3824005,-51.7450981
Cameroon,France,1196,12.7428999,5.6972799,2.5501699,46.5621986
Cameroon,Gabon,1686,12.7428999,5.6972799,11.7837,-0.622679
Cameroon,Gambia,,12.7428999,5.6972799,-15.3882999,13.4466
Cameroon,Germany,177,12.7428999,5.6972799,10.3923998,51.1095009
Cameroon,Ghana,245,12.7428999,5.6972799,-1.20777,7.96277
Cameroon,Greece,38,12.7428999,5.6972799,22.9890995,39.0433006
Cameroon,Guadeloupe,,12.7428999,5.6972799,-61.5360985,16.1991005
Cameroon,Guinea,85,12.7428999,5.6972799,-10.9386997,10.4348001
Cameroon,Guinea-Bissau,,12.7428999,5.6972799,-14.9870996,12.0130997
Cameroon,Iceland,,12.7428999,5.6972799,-18.5942001,64.9898987
Cameroon,India,50,12.7428999,5.6972799,79.6268997,22.8696003
Cameroon,Israel,,12.7428999,5.6972799,35.0121994,31.4379997
Cameroon,Italy,85,12.7428999,5.6972799,12.0749998,42.7888985
Cameroon,Japan,,12.7428999,5.6972799,137.9629974,37.5400009
Cameroon,Kazakhstan,,12.7428999,5.6972799,67.3125,48.1851006
Cameroon,"Korea, North",44,12.7428999,5.6972799,127.1740036,40.1431007
Cameroon,"Korea, South",,12.7428999,5.6972799,127.8069992,36.3558998
Cameroon,Lebanon,39,12.7428999,5.6972799,35.8973999,33.9222984
Cameroon,Liberia,32,12.7428999,5.6972799,-9.3071899,6.4475598
Cameroon,Libya,26,12.7428999,5.6972799,18.0293007,27.0408993
Cameroon,Malawi,,12.7428999,5.6972799,34.3009987,-13.2164001
Cameroon,Mali,627,12.7428999,5.6972799,-3.52442,17.3553009
Cameroon,Malta,,12.7428999,5.6972799,14.4071999,35.9245987
Cameroon,Mauritius,,12.7428999,5.6972799,57.8810005,-20.1338005
Cameroon,Morocco,41,12.7428999,5.6972799,-6.3017602,31.8812008
Cameroon,Netherlands,30,12.7428999,5.6972799,5.6208,52.2496986
Cameroon,Niger,922,12.7428999,5.6972799,9.4006395,17.4241009
Cameroon,Nigeria,8174,12.7428999,5.6972799,8.09233,9.58529
Cameroon,Russia,43,12.7428999,5.6972799,96.7110977,61.9903984
Cameroon,Rwanda,67,12.7428999,5.6972799,29.9228001,-2.0027201
Cameroon,Saudi Arabia,35,12.7428999,5.6972799,44.5861015,24.0100994
Cameroon,Senegal,422,12.7428999,5.6972799,-14.4744997,14.3614998
Cameroon,Sierra Leone,,12.7428999,5.6972799,-11.7910004,8.5607204
Cameroon,Singapore,,12.7428999,5.6972799,103.8199997,1.36113
Cameroon,Somalia,,12.7428999,5.6972799,45.8672981,6.0609798
Cameroon,South Africa,44,12.7428999,5.6972799,25.0935993,-29.0035
Cameroon,Spain,47,12.7428999,5.6972799,-3.64376,40.2303009
Cameroon,Sudan,,12.7428999,5.6972799,30.0898991,13.8871002
Cameroon,Switzerland,56,12.7428999,5.6972799,8.2264605,46.8060989
Cameroon,Tanzania,,12.7428999,5.6972799,34.8255997,-6.2655201
Cameroon,Thailand,,12.7428999,5.6972799,101.0179977,15.1072998
Cameroon,Togo,64,12.7428999,5.6972799,0.977212,8.52841
Cameroon,Trinidad,,12.7428999,5.6972799,-61.2568016,10.4691
Cameroon,UAE,,12.7428999,5.6972799,54.3308983,23.9132004
Cameroon,UK,105,12.7428999,5.6972799,-2.87005,54.1386986
Cameroon,USA,224,12.7428999,5.6972799,-112.9820023,45.718399
Cameroon,USVI,,12.7428999,5.6972799,-64.8049011,17.9848995
Cameroon,Yemen,,12.7428999,5.6972799,47.6422997,15.7990999
Cameroon,Zambia,,12.7428999,5.6972799,27.7943001,-13.4575996
Guinea,Albania,,-10.9386997,10.4348001,20.0701008,41.1427002
Guinea,Algeria,,-10.9386997,10.4348001,2.64733,28.1681995
Guinea,American Samoa,,-10.9386997,10.4348001,-170.3880005,-14.2000999
Guinea,Andorra,,-10.9386997,10.4348001,1.5762399,42.5507011
Guinea,Angola,,-10.9386997,10.4348001,17.5508995,-12.2986002
Guinea,Belgium,,-10.9386997,10.4348001,4.66083,50.6417999
Guinea,Benin,92,-10.9386997,10.4348001,2.3392799,9.6496096
Guinea,Botswana,,-10.9386997,10.4348001,23.8143005,-22.1889
Guinea,Brazil,40,-10.9386997,10.4348001,-53.0798988,-10.7670002
Guinea,Burkina Faso,78,-10.9386997,10.4348001,-1.74676,12.2735004
Guinea,British Virgin Islands,,-10.9386997,10.4348001,-64.5175018,18.5112
Guinea,Cameroon,,-10.9386997,10.4348001,12.7428999,5.6972799
Guinea,Canada,,-10.9386997,10.4348001,-98.2525024,61.4627991
Guinea,Central African Republic,227,-10.9386997,10.4348001,20.4869003,6.57412
Guinea,Chad,,-10.9386997,10.4348001,18.6665993,15.3648996
Guinea,Chile,,-10.9386997,10.4348001,-71.384201,-37.9366989
Guinea,China,,-10.9386997,10.4348001,103.8320007,36.5632019
Guinea,CIV,4955,-10.9386997,10.4348001,-5.5539699,7.6232901
Guinea,Comoros,,-10.9386997,10.4348001,43.6711006,-11.8874998
Guinea,Congo,,-10.9386997,10.4348001,15.2454996,-0.831419
Guinea,Croatia,,-10.9386997,10.4348001,16.4202003,45.0259018
Guinea,DRC,,-10.9386997,10.4348001,23.6576004,-2.8792601
Guinea,East Timor,,-10.9386997,10.4348001,125.8519974,-8.8202496
Guinea,Egypt,,-10.9386997,10.4348001,29.7819004,26.5615997
Guinea,Equatorial Guinea,,-10.9386997,10.4348001,10.3345003,1.70281
Guinea,Estonia,,-10.9386997,10.4348001,25.5494995,58.6731987
Guinea,Falkland Islands (Islas Malvinas),,-10.9386997,10.4348001,-59.3824005,-51.7450981
Guinea,France,287,-10.9386997,10.4348001,2.5501699,46.5621986
Guinea,Gabon,,-10.9386997,10.4348001,11.7837,-0.622679
Guinea,Gambia,728,-10.9386997,10.4348001,-15.3882999,13.4466
Guinea,Germany,78,-10.9386997,10.4348001,10.3923998,51.1095009
Guinea,Ghana,63,-10.9386997,10.4348001,-1.20777,7.96277
Guinea,Greece,,-10.9386997,10.4348001,22.9890995,39.0433006
Guinea,Guadeloupe,,-10.9386997,10.4348001,-61.5360985,16.1991005
Guinea,Guinea,,-10.9386997,10.4348001,-10.9386997,10.4348001
