from_loc,to_loc,amount,from_x,from_y,to_x,to_y
Guinea,Guinea-Bissau,461,-10.9386997,10.4348001,-14.9870996,12.0130997
Guinea,Iceland,,-10.9386997,10.4348001,-18.5942001,64.9898987
Guinea,India,,-10.9386997,10.4348001,79.6268997,22.8696003
Guinea,Israel,,-10.9386997,10.4348001,35.0121994,31.4379997
Guinea,Italy,,-10.9386997,10.4348001,12.0749998,42.7888985
Guinea,Japan,,-10.9386997,10.4348001,137.9629974,37.5400009
Guinea,Kazakhstan,,-10.9386997,10.4348001,67.3125,48.1851006
Guinea,"Korea, North",,-10.9386997,10.4348001,127.1740036,40.1431007
Guinea,"Korea, South",,-10.9386997,10.4348001,127.8069992,36.3558998
Guinea,Lebanon,51,-10.9386997,10.4348001,35.8973999,33.9222984
Guinea,Liberia,16776,-10.9386997,10.4348001,-9.3071899,6.4475598
Guinea,Libya,,-10.9386997,10.4348001,18.0293007,27.0408993
Guinea,Malawi,,-10.9386997,10.4348001,34.3009987,-13.2164001
Guinea,Mali,1734,-10.9386997,10.4348001,-3.52442,17.3553009
Guinea,Malta,,-10.9386997,10.4348001,14.4071999,35.9245987
Guinea,Mauritius,159,-10.9386997,10.4348001,57.8810005,-20.1338005
Guinea,Morocco,,-10.9386997,10.4348001,-6.3017602,31.8812008
Guinea,Netherlands,,-10.9386997,10.4348001,5.6208,52.2496986
Guinea,Niger,59,-10.9386997,10.4348001,9.4006395,17.4241009
Guinea,Nigeria,73,-10.9386997,10.4348001,8.09233,9.58529
Guinea,Russia,75,-10.9386997,10.4348001,96.7110977,61.9903984
Guinea,Rwanda,,-10.9386997,10.4348001,29.9228001,-2.0027201
Guinea,Saudi Arabia,107,-10.9386997,10.4348001,44.5861015,24.0100994
Guinea,Senegal,5635,-10.9386997,10.4348001,-14.4744997,14.3614998
Guinea,Sierra Leone,15232,-10.9386997,10.4348001,-11.7910004,8.5607204
Guinea,Singapore,,-10.9386997,10.4348001,103.8199997,1.36113
Guinea,Somalia,,-10.9386997,10.4348001,45.8672981,6.0609798
Guinea,South Africa,,-10.9386997,10.4348001,25.0935993,-29.0035
Guinea,Spain,,-10.9386997,10.4348001,-3.64376,40.2303009
Guinea,Sudan,,-10.9386997,10.4348001,30.0898991,13.8871002
Guinea,Switzerland,,-10.9386997,10.4348001,8.2264605,46.8060989
Guinea,Tanzania,,-10.9386997,10.4348001,34.8255997,-6.2655201
Guinea,Thailand,,-10.9386997,10.4348001,101.0179977,15.1072998
Guinea,Togo,80,-10.9386997,10.4348001,0.977212,8.52841
Guinea,Trinidad,,-10.9386997,10.4348001,-61.2568016,10.4691
Guinea,UAE,,-10.9386997,10.4348001,54.3308983,23.9132004
Guinea,UK,,-10.9386997,10.4348001,-2.87005,54.1386986
Guinea,USA,73,-10.9386997,10.4348001,-112.9820023,45.718399
Guinea,USVI,,-10.9386997,10.4348001,-64.8049011,17.9848995
Guinea,Yemen,,-10.9386997,10.4348001,47.6422997,15.7990999
Guinea,Zambia,,-10.9386997,10.4348001,27.7943001,-13.4575996
Mali,Albania,45,-3.52442,17.3553009,20.0701008,41.1427002
Mali,Algeria,139,-3.52442,17.3553009,2.64733,28.1681995
Mali,American Samoa,32,-3.52442,17.3553009,-170.3880005,-14.2000999
Mali,Andorra,64,-3.52442,17.3553009,1.5762399,42.5507011
Mali,Angola,153,-3.52442,17.3553009,17.5508995,-12.2986002
Mali,Belgium,,-3.52442,17.3553009,4.66083,50.6417999
Mali,Benin,164,-3.52442,17.3553009,2.3392799,9.6496096
Mali,Botswana,,-3.52442,17.3553009,23.8143005,-22.1889
Mali,Brazil,,-3.52442,17.3553009,-53.0798988,-10.7670002
Mali,Burkina Faso,4410,-3.52442,17.3553009,-1.74676,12.2735004
Mali,British Virgin Islands,29,-3.52442,17.3553009,-64.5175018,18.5112
Mali,Cameroon,195,-3.52442,17.3553009,12.7428999,5.6972799
Mali,Canada,26,-3.52442,17.3553009,-98.2525024,61.4627991
Mali,Central African Republic,77,-3.52442,17.3553009,20.4869003,6.57412
Mali,Chad,51,-3.52442,17.3553009,18.6665993,15.3648996
Mali,Chile,55,-3.52442,17.3553009,-71.384201,-37.9366989
Mali,China,340,-3.52442,17.3553009,103.8320007,36.5632019
Mali,CIV,24574,-3.52442,17.3553009,-5.5539699,7.6232901
Mali,Comoros,25,-3.52442,17.3553009,43.6711006,-11.8874998
Mali,Congo,998,-3.52442,17.3553009,15.2454996,-0.831419
Mali,Croatia,103,-3.52442,17.3553009,16.4202003,45.0259018
Mali,DRC,184,-3.52442,17.3553009,23.6576004,-2.8792601
Mali,East Timor,,-3.52442,17.3553009,125.8519974,-8.8202496
Mali,Egypt,86,-3.52442,17.3553009,29.7819004,26.5615997
Mali,Equatorial Guinea,83,-3.52442,17.3553009,10.3345003,1.70281
Mali,Estonia,80,-3.52442,17.3553009,25.5494995,58.6731987
Mali,Falkland Islands (Islas Malvinas),38,-3.52442,17.3553009,-59.3824005,-51.7450981
Mali,France,1455,-3.52442,17.3553009,2.5501699,46.5621986
Mali,Gabon,1372,-3.52442,17.3553009,11.7837,-0.622679
Mali,Gambia,233,-3.52442,17.3553009,-15.3882999,13.4466
Mali,Germany,33,-3.52442,17.3553009,10.3923998,51.1095009
Mali,Ghana,709,-3.52442,17.3553009,-1.20777,7.96277
Mali,Greece,,-3.52442,17.3553009,22.9890995,39.0433006
Mali,Guadeloupe,48,-3.52442,17.3553009,-61.5360985,16.1991005
Mali,Guinea,2815,-3.52442,17.3553009,-10.9386997,10.4348001
Mali,Guinea-Bissau,32,-3.52442,17.3553009,-14.9870996,12.0130997
Mali,Iceland,32,-3.52442,17.3553009,-18.5942001,64.9898987
Mali,India,,-3.52442,17.3553009,79.6268997,22.8696003
Mali,Israel,129,-3.52442,17.3553009,35.0121994,31.4379997
Mali,Italy,,-3.52442,17.3553009,12.0749998,42.7888985
Mali,Japan,66,-3.52442,17.3553009,137.9629974,37.5400009
Mali,Kazakhstan,112,-3.52442,17.3553009,67.3125,48.1851006
Mali,"Korea, North",83,-3.52442,17.3553009,127.1740036,40.1431007
Mali,"Korea, South",32,-3.52442,17.3553009,127.8069992,36.3558998
Mali,Lebanon,,-3.52442,17.3553009,35.8973999,33.9222984
Mali,Liberia,111,-3.52442,17.3553009,-9.3071899,6.4475598
Mali,Libya,393,-3.52442,17.3553009,18.0293007,27.0408993
Mali,Malawi,43,-3.52442,17.3553009,34.3009987,-13.2164001
Mali,Mali,,-3.52442,17.3553009,-3.52442,17.3553009
Mali,Malta,25,-3.52442,17.3553009,14.4071999,35.9245987
Mali,Mauritius,1196,-3.52442,17.3553009,57.8810005,-20.1338005
Mali,Morocco,122,-3.52442,17.3553009,-6.3017602,31.8812008
Mali,Netherlands,,-3.52442,17.3553009,5.6208,52.2496986
Mali,Niger,1081,-3.52442,17.3553009,9.4006395,17.4241009
Mali,Nigeria,420,-3.52442,17.3553009,8.09233,9.58529
Mali,Russia,60,-3.52442,17.3553009,96.7110977,61.9903984
Mali,Rwanda,30,-3.52442,17.3553009,29.9228001,-2.0027201
Mali,Saudi Arabia,271,-3.52442,17.3553009,44.5861015,24.0100994
Mali,Senegal,2759,-3.52442,17.3553009,-14.4744997,14.3614998
Mali,Sierra Leone,174,-3.52442,17.3553009,-11.7910004,8.5607204
Mali,Singapore,80,-3.52442,17.3553009,103.8199997,1.36113
Mali,Somalia,47,-3.52442,17.3553009,45.8672981,6.0609798
Mali,South Africa,45,-3.52442,17.3553009,25.0935993,-29.0035
Mali,Spain,124,-3.52442,17.3553009,-3.64376,40.2303009
Mali,Sudan,27,-3.52442,17.3553009,30.0898991,13.8871002
Mali,Switzerland,,-3.52442,17.3553009,8.2264605,46.8060989
Mali,Tanzania,51,-3.52442,17.3553009,34.8255997,-6.2655201
Mali,Thailand,41,-3.52442,17.3553009,101.0179977,15.1072998
Mali,Togo,307,-3.52442,17.3553009,0.977212,8.52841
Mali,Trinidad,51,-3.52442,17.3553009,-61.2568016,10.4691
Mali,UAE,102,-3.52442,17.3553009,54.3308983,23.9132004
Mali,UK,,-3.52442,17.3553009,-2.87005,54.1386986
Mali,USA,166,-3.52442,17.3553009,-112.9820023,45.718399
Mali,USVI,29,-3.52442,17.3553009,-64.8049011,17.9848995
Mali,Yemen,35,-3.52442,17.3553009,47.6422997,15.7990999
Mali,Zambia,59,-3.52442,17.3553009,27.7943001,-13.4575996
Sierra Leone,Albania,,-11.7910004,8.5607204,20.0701008,41.1427002
Sierra Leone,Algeria,,-11.7910004,8.5607204,2.64733,28.1681995
Sierra Leone,American Samoa,,-11.7910004,8.5607204,-170.3880005,-14.2000999
Sierra Leone,Andorra,,-11.7910004,8.5607204,1.5762399,42.5507011
Sierra Leone,Angola,,-11.7910004,8.5607204,17.5508995,-12.2986002
Sierra Leone,Belgium,,-11.7910004,8.5607204,4.66083,50.6417999
Sierra Leone,Benin,,-11.7910004,8.5607204,2.3392799,9.6496096
Sierra Leone,Botswana,,-11.7910004,8.5607204,23.8143005,-22.1889
Sierra Leone,Brazil,,-11.7910004,8.5607204,-53.0798988,-10.7670002
Sierra Leone,Burkina Faso,,-11.7910004,8.5607204,-1.74676,12.2735004
Sierra Leone,British Virgin Islands,,-11.7910004,8.5607204,-64.5175018,18.5112
Sierra Leone,Cameroon,,-11.7910004,8.5607204,12.7428999,5.6972799
Sierra Leone,Canada,,-11.7910004,8.5607204,-98.2525024,61.4627991
Sierra Leone,Central African Republic,,-11.7910004,8.5607204,20.4869003,6.57412
Sierra Leone,Chad,,-11.7910004,8.5607204,18.6665993,15.3648996
Sierra Leone,Chile,,-11.7910004,8.5607204,-71.384201,-37.9366989
Sierra Leone,China,,-11.7910004,8.5607204,103.8320007,36.5632019
Sierra Leone,CIV,,-11.7910004,8.5607204,-5.5539699,7.6232901
Sierra Leone,Comoros,,-11.7910004,8.5607204,43.6711006,-11.8874998
Sierra Leone,Congo,,-11.7910004,8.5607204,15.2454996,-0.831419
Sierra Leone,Croatia,,-11.7910004,8.5607204,16.4202003,45.0259018
Sierra Leone,DRC,,-11.7910004,8.5607204,23.6576004,-2.8792601
Sierra Leone,East Timor,,-11.7910004,8.5607204,125.8519974,-8.8202496
Sierra Leone,Egypt,,-11.7910004,8.5607204,29.7819004,26.5615997
Sierra Leone,Equatorial Guinea,,-11.7910004,8.5607204,10.3345003,1.70281
Sierra Leone,Estonia,,-11.7910004,8.5607204,25.5494995,58.6731987
Sierra Leone,Falkland Islands (Islas Malvinas),,-11.7910004,8.5607204,-59.3824005,-51.7450981
Sierra Leone,France,,-11.7910004,8.5607204,2.5501699,46.5621986
Sierra Leone,Gabon,,-11.7910004,8.5607204,11.7837,-0.622679
Sierra Leone,Gambia,,-11.7910004,8.5607204,-15.3882999,13.4466
Sierra Leone,Germany,,-11.7910004,8.5607204,10.3923998,51.1095009
Sierra Leone,Ghana,,-11.7910004,8.5607204,-1.20777,7.96277
Sierra Leone,Greece,,-11.7910004,8.5607204,22.9890995,39.0433006
Sierra Leone,Guadeloupe,,-11.7910004,8.5607204,-61.5360985,16.1991005
Sierra Leone,Guinea,,-11.7910004,8.5607204,-10.9386997,10.4348001
Sierra Leone,Guinea-Bissau,,-11.7910004,8.5607204,-14.9870996,12.0130997
Sierra Leone,Iceland,,-11.7910004,8.5607204,-18.5942001,64.9898987
Sierra Leone,India,26,-11.7910004,8.5607204,79.6268997,22.8696003
Sierra Leone,Israel,,-11.7910004,8.5607204,35.0121994,31.4379997
Sierra Leone,Italy,,-11.7910004,8.5607204,12.0749998,42.7888985
Sierra Leone,Japan,,-11.7910004,8.5607204,137.9629974,37.5400009
Sierra Leone,Kazakhstan,,-11.7910004,8.5607204,67.3125,48.1851006
Sierra Leone,"Korea, North",,-11.7910004,8.5607204,127.1740036,40.1431007
Sierra Leone,"Korea, South",,-11.7910004,8.5607204,127.8069992,36.3558998
Sierra Leone,Lebanon,41,-11.7910004,8.5607204,35.8973999,33.9222984
Sierra Leone,Liberia,,-11.7910004,8.5607204,-9.3071899,6.4475598
Sierra Leone,Libya,,-11.7910004,8.5607204,18.0293007,27.0408993
Sierra Leone,Malawi,,-11.7910004,8.5607204,34.3009987,-13.2164001
Sierra Leone,Mali,,-11.7910004,8.5607204,-3.52442,17.3553009
Sierra Leone,Malta,,-11.7910004,8.5607204,14.4071999,35.9245987
Sierra Leone,Mauritius,,-11.7910004,8.5607204,57.8810005,-20.1338005
Sierra Leone,Morocco,,-11.7910004,8.5607204,-6.3017602,31.8812008
Sierra Leone,Netherlands,,-11.7910004,8.5607204,5.6208,52.2496986
Sierra Leone,Niger,,-11.7910004,8.5607204,9.4006395,17.4241009
Sierra Leone,Nigeria,110,-11.7910004,8.5607204,8.09233,9.58529
Sierra Leone,Russia,,-11.7910004,8.5607204,96.7110977,61.9903984
Sierra Leone,Rwanda,,-11.7910004,8.5607204,29.9228001,-2.0027201
Sierra Leone,Saudi Arabia,,-11.7910004,8.5607204,44.5861015,24.0100994
Sierra Leone,Senegal,54,-11.7910004,8.5607204,-14.4744997,14.3614998
Sierra Leone,Sierra Leone,,-11.7910004,8.5607204,-11.7910004,8.5607204
Sierra Leone,Singapore,,-11.7910004,8.5607204,103.8199997,1.36113
Sierra Leone,Somalia,,-11.7910004,8.5607204,45.8672981,6.0609798
Sierra Leone,South Africa,,-11.7910004,8.5607204,25.0935993,-29.0035
Sierra Leone,Spain,,-11.7910004,8.5607204,-3.64376,40.2303009
Sierra Leone,Sudan,,-11.7910004,8.5607204,30.0898991,13.8871002
Sierra Leone,Switzerland,,-11.7910004,8.5607204,8.2264605,46.8060989
Sierra Leone,Tanzania,,-11.7910004,8.5607204,34.8255997,-6.2655201
Sierra Leone,Thailand,,-11.7910004,8.5607204,101.0179977,15.1072998
Sierra Leone,Togo,,-11.7910004,8.5607204,0.977212,8.52841
Sierra Leone,Trinidad,,-11.7910004,8.5607204,-61.2568016,10.4691
Sierra Leone,UAE,,-11.7910004,8.5607204,54.3308983,23.9132004
Sierra Leone,UK,39,-11.7910004,8.5607204,-2.87005,54.1386986
Sierra Leone,USA,74,-11.7910004,8.5607204,-112.9820023,45.718399
Sierra Leone,USVI,,-11.7910004,8.5607204,-64.8049011,17.9848995
Sierra Leone,Yemen,,-11.7910004,8.5607204,47.6422997,15.7990999
Sierra Leone,Zambia,,-11.7910004,8.5607204,27.7943001,-13.4575996